Rank,Group,Name ,Country,Jump_1_Prelim,Jump_2_Prelim,Jump_3_Prelim,Jump_1_Final,Jump_2_Final,Jump_3_Final,Jump_4_Final,Jump_5_Final,Jump_6_Final,Year,Gender
35,A,Pamela Mouele-Mboussi,Republic of the Congo,x,5.94,6.06,,,,,,,2008,Women
36,B,Arantxa King,Bermuda,6.01,x,x,,,,,,,2008,Women
37,A,Rhonda Watkins,Trinidad and Tobago,x,5.88,x,,,,,,,2008,Women
38,A,Tricia Flores,Belize,5.25,x,-,,,,,,,2008,Women
?,B,Anju Bobby George,India,x,x,x,,,,,,,2008,Women
?,B,Jackie Edwards,Bahamas,x,x,x,,,,,,,2008,Women
?,A,Jana Vel?†kov†,Slovakia,x,x,x,,,,,,,2008,Women
?,A,Lyudmyla Blonska,Ukraine,,,,,,,,,,2008,Women
1,A,Louis Tsatoumas,Greece,8.27,?,?,X,X,X,,,,2008,Men
2,A,Ibrahim Camejo,Cuba,8.23,?,?,7.94,8.09,8.08,7.88,7.93,8.2,2008,Men
3,A,Greg Rutherford,Great Britain,8.16,?,?,X,5.2,7.84,,,,2008,Men
4,A,Khotso Mokoena,South Africa,8.03,X,8.14,7.86,X,8.02,8.24,X,X,2008,Men
5,B,Ngonidzashe Makusha,Zimbabwe,8.14,7.94,?,8.19,8.06,8.05,8.1,8.05,6.48,2008,Men
6,B,Wilfredo Mart°nez,Cuba,7.92,7.8,8.07,,,,,,,2008,Men
7,B,Ndiss Kaba Badji,Senegal,7.65,7.79,8.07,8.03,X,8.02,8.16 SB,8.03,7.92,2008,Men
8,A,Hussein Taher Al-Sabee,Saudi Arabia,5.47,8.04,X,7.8,X,X,,,,2008,Men
9,B,Irving Saladino,Panama,X,X,8.01,X,8.17,8.21,8.34,X,X,2008,Men
10,A,Luis Felipe MÇliz,Spain,X,7.77,7.95,X,8.02,X,X,7.98,8.07,2008,Men
11,A,Gable Garenamotse,Botswana,7.58,X,7.95,X,7.85,?,,,,2008,Men
12,B,Roman Novotn?,Czech Republic,7.75,7.81,7.94,7.87,7.75,8,X,7.82,7.94,2008,Men
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
